NO;JENIS KENDARAAN;MERK;TIPE;NOMOR POLISI;NOMOR RANGKA;NOMOR MESIN;NOMOR POLIS;MASA LAKU PAJAK;MASA LAKU STNK;MASA LAKU ASURANSI;TANGGAL SERVICE RUTIN;TAHUN PEMBUATAN;TAHUN PENGADAAN;NOMOR ASSET
Kantor Cabang Kalimantan Timur;;;;;;;;;;;;;;
1;R4;Nissan;X-Trail;KT 1 JR;MHBF2CF1ADJ010277;QR25439219B;;05-May-23;05-May-23;;;;;?1137?
2;R4;Toyota;Avanza;KT 1392 AQ;MHKM5FB4JJK017067;2NRF642783;;27-Mar-23;27-Mar-23;;;;;?2225?
3;R4;Toyota ;Avanza;KT 1397 AQ;MHKM5FB4JJK016475;2NRF634386;;27-Mar-23;27-Mar-23;;;;;?2226?
4;R4;Toyota;Avanza;KT 1086 ZA;MHKM1CA3JEK016218;DEE4880;;24-Mar-23;24-Mar-24;;;;;?2215?
5;R4;Toyota;Innova;KT 1664 KS;MHFXW42G3E2282634;1TR7746672;;13-Mar-23;13-Mar-24;;;;;?2216?
6;R4;Toyota;Avanza;KT 1334 AJ;MHKM5FB4JHK014832;2NRF621502;;18-Dec-22;16-Dec-22;;;;;?2226?
7;R4;Nissan;Navara;KT 8888 JR;MNTCC4D23Z0022122;YD25704875T;;23-Nov-22;23-Nov-22;;;;;?2222?
8;R4;Isuzu;NKR45CO E2-1 LWB;KT 9533 LD;MHCNKR55HEJ057676;M057676;;07-Oct-22;07-Oct-25;;;;;
9;R4;Toyota;Innova;KT 2 JR;MHFGW8EM0H1011825;1TRA251898;;22-Aug-22;22-Aug-22;;;;;?2221?
10;R4;Fortuner;Fortuner;B 1421 PJU;MHFAA8GS6N0783036;1GD5239384;;14 Sep-27;14 Sep-27;;;;;
